,PIR_364mg.kg_5d_NN_OG_Rep1,PIR_364mg.kg_5d_NN_OG_Rep2,PIR_364mg.kg_5d_NN_OG_Rep3,Control_0_5d_NN_OG_Rep1,Control_0_5d_NN_OG_Rep6,Control_0_5d_NN_OG_Rep3
ENSRNOG00000000306,80,99,81,370,337,189
ENSRNOG00000000307,17,12,8,58,64,42
ENSRNOG00000000308,55,59,51,306,237,164
ENSRNOG00000000312,239,182,157,667,667,464
ENSRNOG00000000314,1807,2054,1786,7131,7251,5314
ENSRNOG00000000316,3,2,0,7,7,7
ENSRNOG00000000320,0,0,0,0,0,0
ENSRNOG00000000321,29,16,19,87,77,58
ENSRNOG00000000322,219,230,177,716,568,534
ENSRNOG00000000323,16,14,5,42,41,28
ENSRNOG00000000327,139,156,119,438,375,266
ENSRNOG00000000335,0,0,0,1,0,1
ENSRNOG00000000340,1186,1179,1030,2483,2525,2163
ENSRNOG00000000341,55,57,58,331,263,214
ENSRNOG00000000345,0,0,0,0,0,0
ENSRNOG00000000368,0,0,0,0,1,0
ENSRNOG00000000373,0,1,0,1,2,1
ENSRNOG00000000376,0,1.44,0,4.03,0,3.22
ENSRNOG00000000378,1,2,0,2,0,1
ENSRNOG00000000383,2,3,3,3,0,0
ENSRNOG00000000384,0,0,0,0,0,0
ENSRNOG00000000386,1320,1193,1152,4398,3673,3184
ENSRNOG00000000387,613,611,509,1926,1747,1439
ENSRNOG00000000390,13.5,9,9.5,42.5,34.5,20
ENSRNOG00000000392,315,349,294,656,665,478
ENSRNOG00000000394,67,66,78,532,386,265
ENSRNOG00000000395,111,116,98,322,266,171
ENSRNOG00000000396,303,273,254,880,844,577
ENSRNOG00000000397,456,434,445,1500,1403,1128
ENSRNOG00000000398,72,96,77,368,201,181
ENSRNOG00000000401,0,0,0,0,0,0
ENSRNOG00000000405,0,0,0,0,0,0
ENSRNOG00000000406,0,0,2,2,2,2
ENSRNOG00000000407,72,56,47,206,252,194
ENSRNOG00000000408,339.31,283.96,290.7,1029.51,989.2,745.15
ENSRNOG00000000410,0,0,0,0,0,1
ENSRNOG00000000411,570,574,535,1995,2065,1634
ENSRNOG00000000412,0,1,0,4,1,3
ENSRNOG00000000413,0,2,0,4,7,4
ENSRNOG00000000414,40,53,64,253,181,200
ENSRNOG00000000415,183,176,174,367,317,262
ENSRNOG00000000417,686,734,633,2556,2340,1742
ENSRNOG00000000418,27,29,30,67,86,51
ENSRNOG00000000419,124.53,84.84,169.79,746.81,677.92,488.4
ENSRNOG00000000420,232,234,186,532,537,439
ENSRNOG00000000421,668,690,554,2016,1803,1278
ENSRNOG00000000422,85,102,66,336,289,230
ENSRNOG00000000423,18,21,17,71,42,20
ENSRNOG00000000428,2.16,1,6.57,11.14,14.32,1.06
ENSRNOG00000000431,315,330,310,1676,1742,1172
ENSRNOG00000000432,124,88,101,251,218,119
ENSRNOG00000000433,6,5,8,21,21,14
ENSRNOG00000000435,133,143,126,978,606,428
ENSRNOG00000000436,8,8,15,43,41,22
ENSRNOG00000000437,74,51,50,250,176,124
ENSRNOG00000000438,294,282,248,1589,1210,980
ENSRNOG00000000439,4,7,7,24,17,5
ENSRNOG00000000440,198,184,155,862,550,535
ENSRNOG00000000441,13,15,11,137,92,49
ENSRNOG00000000442,63,60,43,198,162,89
ENSRNOG00000000443,5936.71,5280.92,20013.07,116588.48,72994.61,38823.68
ENSRNOG00000000446,0,2,0,0.5,0,0
ENSRNOG00000000451,181,71,95,2111,850,402
ENSRNOG00000000454,4,3,10,45,25,20
ENSRNOG00000000455,253.65,199.17,211.17,2220.76,1254.62,690.72
ENSRNOG00000000456,171,94.73,135.4,5764.58,1784.52,1098.61
ENSRNOG00000000457,241,146,168,2844,986.86,598
ENSRNOG00000000459,203,238,223,4140,779,599
ENSRNOG00000000461,524.33,564.79,417.46,2542.33,2390.71,1320.41
ENSRNOG00000000463,7,12,10,26,42,16
ENSRNOG00000000464,295,312,276,833,758,508
ENSRNOG00000000465,827,854,688,4048,3550,2607
ENSRNOG00000000466,301,356,279,643,640,478
ENSRNOG00000000467,213,223,220,673,715,468
ENSRNOG00000000470,515,460,459,1200,1267,796
ENSRNOG00000000471,54,44,38,235,217,157
ENSRNOG00000000473,262,325,317,922,815,696
ENSRNOG00000000474,149,110,130,483,367,275
ENSRNOG00000000476,131,125,93,418,374,286
ENSRNOG00000000477,176,192,133,798,699,435
ENSRNOG00000000478,24,1,3,33,75,11
ENSRNOG00000000479,39,23,13,148,133,115
ENSRNOG00000000480,239,223,187,746,782,469
ENSRNOG00000000481,274,251,229,918,869,635
ENSRNOG00000000483,44,40,45,100,94,56
ENSRNOG00000000485,29,26,43,297,115,68
ENSRNOG00000000486,1,2,1,5,5,0
ENSRNOG00000000487,0,0,0,0,2,0
ENSRNOG00000000488,7,6,3,33,19,10
